nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000313,Jeff Bridges,1949,\N,"actor,soundtrack,producer","tt0088172,tt0118715,tt1263670,tt1403865"
nm0000314,Charles Bronson,1921,2003,actor,"tt0064116,tt0057115,tt0054047,tt0071402"
nm0000316,Mel Brooks,1926,\N,"actor,writer,soundtrack","tt0395251,tt0071230,tt0082517,tt0094012"
nm0000317,Clancy Brown,1959,\N,"actor,soundtrack,producer","tt1179056,tt0120201,tt0111161,tt0409847"
nm0000318,Tim Burton,1958,\N,"producer,miscellaneous,director","tt0408236,tt0099487,tt1142977,tt0121164"
nm0000320,Luis Buñuel,1900,1983,"writer,director,actor","tt0061395,tt0075824,tt0068361,tt0056732"
nm0000321,Gabriel Byrne,1950,\N,"actor,producer,writer","tt0100150,tt0114814,tt0146675,tt7784604"
nm0000323,Michael Caine,1933,\N,"actor,producer,soundtrack","tt0482571,tt0468569,tt0124315,tt0258068"
nm0000329,Jackie Chan,1954,\N,"producer,actor,stunts","tt0266915,tt0089374,tt0120812,tt0127357"
nm0000332,Don Cheadle,1964,\N,"actor,producer,soundtrack","tt0395169,tt0790770,tt1540133,tt0375679"
nm0000338,Francis Ford Coppola,1939,\N,"producer,director,writer","tt0078788,tt0068646,tt0071360,tt0071562"
nm0000341,Michael Crichton,1942,2008,"writer,producer,director","tt0108757,tt0070909,tt0117998,tt0107290"
nm0000342,James Cromwell,1940,\N,"actor,producer,soundtrack","tt0120689,tt0117731,tt0119488,tt0144214"
nm0000345,Billy Crystal,1948,\N,"actor,writer,producer","tt0113097,tt0122933,tt0098635,tt0101587"
nm0000348,Tony Curtis,1925,2010,"actor,producer,soundtrack","tt0051036,tt0053291,tt0066701,tt0054331"
nm0000349,Joan Cusack,1962,\N,"actress,soundtrack,writer","tt1659337,tt0119360,tt0119229,tt0096463"
nm0000350,Beverly D'Angelo,1951,\N,"actress,soundtrack,producer","tt0085995,tt0097958,tt0120586,tt0120434"
nm0000352,Vincent D'Onofrio,1959,\N,"actor,producer,soundtrack","tt0119654,tt0209958,tt0093058,tt0369610"
nm0000353,Willem Dafoe,1955,\N,"actor,soundtrack,producer","tt5649144,tt0145487,tt6938828,tt7984734"
nm0000354,Matt Damon,1970,\N,"producer,actor,soundtrack","tt0407887,tt0134119,tt3659388,tt0119217"
nm0000358,Daniel Day-Lewis,1957,\N,"actor,music_department,soundtrack","tt0104691,tt0217505,tt0469494,tt0443272"
nm0000361,Brian De Palma,1940,\N,"director,writer,producer","tt0120832,tt0280665,tt0080661,tt0086984"
nm0000365,Julie Delpy,1969,\N,"actress,writer,producer","tt0841044,tt0112471,tt0111507,tt0381681"
nm0000366,Catherine Deneuve,1943,\N,"actress,soundtrack,producer","tt0283832,tt0168629,tt0059646,tt0061395"
nm0000367,Gérard Depardieu,1948,\N,"actor,producer,soundtrack","tt0099334,tt0120744,tt0099699,tt0103594"
nm0000368,Laura Dern,1967,\N,"actress,producer,writer","tt2305051,tt0090756,tt0107290,tt7653254"
nm0000375,Robert Downey Jr.,1965,\N,"actor,producer,soundtrack","tt0371746,tt1300854,tt0988045,tt4154796"
nm0000377,Richard Dreyfuss,1947,\N,"actor,producer,soundtrack","tt0073195,tt0076095,tt0075860,tt0069704"
nm0000380,Robert Duvall,1931,\N,"actor,producer,soundtrack","tt0316356,tt0086423,tt0068646,tt0118632"
nm0000383,Jennifer Ehle,1969,\N,actress,"tt0112130,tt2392830,tt4919484,tt1790885"
nm0000384,Danny Elfman,1953,\N,"music_department,soundtrack,composer","tt0367594,tt0107688,tt0121164,tt0119654"
nm0000385,Sam Elliott,1944,\N,"actor,producer,soundtrack","tt5655222,tt1517451,tt0118715,tt0098206"
nm0000386,Roland Emmerich,1955,\N,"writer,producer,director","tt0120685,tt1628841,tt0319262,tt0116629"
nm0000388,R. Lee Ermey,1944,2018,"actor,miscellaneous,producer","tt0095647,tt0093058,tt0324216,tt0114369"
nm0000393,Peter Falk,1927,2011,"actor,producer,soundtrack","tt0093779,tt0074937,tt1466074,tt0281322"
nm0000397,Corey Feldman,1971,\N,"actor,producer,soundtrack","tt0087298,tt0093437,tt0092005,tt0089218"
nm0000398,Sally Field,1946,\N,"actress,producer,soundtrack","tt0076729,tt0098384,tt0443272,tt0109830"
nm0000399,David Fincher,1962,\N,"producer,director,writer","tt1285016,tt0114369,tt0443706,tt2267998"
nm0000401,Laurence Fishburne,1961,\N,"actor,producer,director","tt0133093,tt0234215,tt0327056,tt1598778"
nm0000402,Carrie Fisher,1956,2016,"actress,miscellaneous,soundtrack","tt0080684,tt2527336,tt0086190,tt0076759"
nm0000406,John Ford,1894,1973,"director,producer,actor","tt0045061,tt0031971,tt0056217,tt0032551"
nm0000411,Edward Furlong,1977,\N,"actor,producer,soundtrack","tt0103064,tt0165710,tt0990407,tt0120586"
nm0000416,Terry Gilliam,1940,\N,"writer,actor,animation_department","tt0085959,tt0088846,tt0071853,tt1054606"
nm0000417,Crispin Glover,1964,\N,"actor,soundtrack,producer","tt0118141,tt0310357,tt0091860,tt1898069"
nm0000420,Valeria Golino,1965,\N,"actress,director,producer","tt0107144,tt0102059,tt8613070,tt0095953"
nm0000422,John Goodman,1952,\N,"actor,soundtrack,producer","tt1179933,tt0101410,tt1024648,tt1907668"
nm0000424,Hugh Grant,1960,\N,"actor,soundtrack","tt0276751,tt0314331,tt0125439,tt0109831"
nm0000432,Gene Hackman,1930,\N,"actor,soundtrack,producer","tt0105695,tt0265666,tt0069113,tt0067116"
nm0000434,Mark Hamill,\N,\N,"actor,soundtrack,producer","tt0076759,tt0080684,tt2527336,tt0086190"
nm0000435,Daryl Hannah,1960,\N,"actress,producer,soundtrack","tt0378194,tt0083658,tt0094291,tt0088161"
nm0000436,Curtis Hanson,1945,2016,"director,producer,writer","tt0104389,tt0388125,tt0298203,tt0119488"
nm0000437,Woody Harrelson,1961,\N,"actor,producer,soundtrack","tt1156398,tt0117318,tt0110632,tt2356777"
nm0000438,Ed Harris,1950,\N,"actor,producer,director","tt0800308,tt0112384,tt0183659,tt0120382"
