tconst,directors,writers
tt0071853,"nm0001402,nm0000416","nm0001037,nm0000092,nm0001385,nm0000416,nm0001402,nm0001589,nm0540627"
tt0072417,nm0001023,nm0001023
tt0072431,nm0000316,"nm0000698,nm0000316,nm0791217"
tt0072443,nm0001789,"nm0592735,nm0850493,nm0001789"
tt0072684,nm0000040,"nm0000040,nm0856842"
tt0072890,nm0001486,"nm0682757,nm0460190,nm0601944,nm0909063"
tt0073195,nm0000229,"nm0001940,nm0331956"
tt0073486,nm0001232,"nm0369142,nm0325743,nm0450181,nm0913670"
tt0073707,nm0802693,"nm0015287,nm0451311"
tt0074896,nm0002160,"nm0185867,nm0252821,nm0252863,nm0252872,nm0536868"
tt0074958,nm0001486,nm0154665
tt0075148,nm0000814,nm0000230
tt0075314,nm0000217,nm0001707
tt0075686,nm0000095,"nm0000095,nm0108613"
tt0076759,nm0000184,nm0000184
tt0077416,nm0001047,"nm0001047,nm0913346,nm0307311,nm0714793"
tt0077711,nm0000005,nm0000005
tt0078748,nm0000631,"nm0639321,nm0795953"
tt0078788,nm0000338,"nm0587518,nm0000338,nm0380282,nm0175676"
tt0079470,nm0001402,"nm0001037,nm0000092,nm0000416,nm0001385,nm0001402,nm0001589"
tt0079944,nm0001789,"nm0835297,nm0835298,nm0001789,nm0850493"
tt0080455,nm0000484,"nm0000101,nm0000484"
tt0080678,nm0000186,"nm0212246,nm0075015,nm0000186,nm0872375,nm0598744"
tt0080684,nm0449984,"nm0102824,nm0001410,nm0000184"
tt0081398,nm0000217,"nm0483766,nm0141734,nm0678014,nm0001707,nm0552731"
tt0081505,nm0000040,"nm0000175,nm0000040,nm0424956"
tt0082096,nm0000583,"nm0000583,nm0118164"
tt0082971,nm0000229,"nm0001410,nm0000184,nm0442241"
tt0083658,nm0000631,"nm0266684,nm0672459,nm0001140"
tt0083866,nm0000229,nm0558953
tt0083922,nm0000005,nm0000005
tt0083946,nm0001348,nm0001348
tt0083987,nm0000277,nm0109300
tt0084503,nm0000570,nm0914166
tt0084787,nm0000118,"nm0484111,nm0132168"
tt0086190,nm0549658,"nm0001410,nm0000184"
tt0086250,nm0000361,"nm0000231,nm0001328,nm0372942,nm0870660"
tt0086879,nm0001232,"nm0787323,nm0537004"
tt0087544,nm0594503,"nm0594503,nm1248357,nm1248358,nm0411872"
tt0087843,nm0001466,"nm0340580,nm0073053,nm0207401,nm0575804,nm0033490,nm0274853,nm0001466,nm0436757,nm0002759"
tt0087884,nm0000694,"nm0141281,nm0001731,nm0232924"
tt0088247,nm0000116,"nm0000116,nm0005036,nm0936537"
tt0088763,nm0000709,"nm0000709,nm0301826"
tt0089881,nm0000041,"nm0000041,nm0644823,nm0406836,nm0000636"
tt0090605,nm0000116,"nm0000116,nm0318429,nm0001353,nm0639321,nm0795953"
tt0091251,nm0459552,"nm0010696,nm0459552"
tt0091288,nm0001945,"nm0656528,nm0001945,nm0102722"
tt0091763,nm0000231,nm0000231
tt0092005,nm0001661,"nm0000175,nm0317279,nm0262595"
tt0092067,nm0594503,"nm0594503,nm0842605"
tt0092593,nm0001501,nm0001501
tt0093058,nm0000040,"nm0000040,nm0380282,nm0368007"
tt0093779,nm0001661,nm0001279
tt0094625,nm0960028,"nm0960028,nm0368051"
tt0095016,nm0001532,"nm0861636,nm0835732,nm0211823"
tt0095327,nm0847223,"nm0636435,nm0847223"
tt0095765,nm0868153,"nm0868153,nm0660031"
tt0095953,nm0001469,"nm0607454,nm0060103"
tt0096283,nm0594503,nm0594503
tt0097165,nm0001837,nm0776114
tt0097216,nm0000490,nm0000490
tt0097223,nm0001437,"nm0001437,nm0586235"
tt0097576,nm0000229,"nm0000184,nm0583675,nm0442241,nm0090151"
tt0099348,nm0000126,nm0086658
tt0099487,nm0000318,"nm0000318,nm0003031"
tt0099685,nm0000217,"nm0683380,nm0000217"
tt0101414,"nm0873779,nm0936374","nm0941314,nm0152312,nm0761498,nm0560329,nm0363125,nm0683724,nm0940849,nm0710020,nm0254085,nm0038432,nm0501729,nm0207305,nm0998551,nm3343855"
tt0101640,nm0955443,"nm0867263,nm0955600"
tt0102138,nm0000231,"nm0308426,nm0550285,nm0000231,nm0804466"
tt0102926,nm0001129,"nm0365383,nm0848217"
tt0103064,nm0000116,"nm0000116,nm0936537"
tt0103639,"nm0166256,nm0615780","nm0166256,nm0615780,nm0254645,nm0744429,nm0560329,nm0021249,nm0423161,nm0363125,nm0629734,nm0322368,nm0740311,nm0500858,nm0969162,nm0361315,nm0510674,nm0715949,nm1061362,nm0761498,nm0683724,nm0893358"
tt0105236,nm0000233,"nm0000233,nm0000812"
tt0105323,nm0000976,"nm0037097,nm0325743,nm0531431,nm0728271"
tt0105695,nm0000142,nm0672459
tt0106332,nm0155280,"nm0497762,nm0523760"
tt0107048,nm0000601,"nm0748035,nm0000601"
tt0107207,nm0006487,"nm0174840,nm0313623,nm0006487"
tt0107290,nm0000229,"nm0000341,nm0462895"
tt0107688,nm0783139,"nm0000318,nm0568313,nm0003031"
tt0108052,nm0000229,"nm0447745,nm0001873"
tt0108399,nm0001716,"nm0000233,nm0000812"
tt0109117,nm0764316,"nm0764316,nm0795651"
tt0109424,nm0939182,nm0939182
tt0109830,nm0000709,"nm0343165,nm0744839"
tt0110357,"nm0021249,nm0591450","nm0575293,nm0731271,nm0941314,nm0560329,nm0424556,nm0177170,nm0258059,nm0309128,nm0873779,nm0135296,nm0363125,nm0460146,nm0761498,nm0004552,nm0500858,nm0710020,nm0538588,nm0326814,nm0322368,nm0442483,nm0020599,nm0780117,nm0854185,nm0873092,nm0879318,nm0901038,nm0936374,nm0925276,nm0152312"
tt0110413,nm0000108,nm0000108
tt0110912,nm0000233,"nm0000233,nm0000812"
tt0111161,nm0001104,"nm0000175,nm0001104"
tt0111495,nm0001425,"nm0001425,nm0682830,nm0002140,nm0954072,nm0460058,nm0489995"
tt0112471,nm0000500,"nm0000500,nm0471811"
tt0112573,nm0000154,nm0908824
tt0112641,nm0000217,"nm0683380,nm0000217"
tt0112870,nm0159147,"nm0159147,nm0796503"
tt0113247,nm0440913,nm0440913
tt0113277,nm0000520,nm0000520
tt0114369,nm0000399,nm0001825
tt0114709,nm0005124,"nm0005124,nm0230032,nm0004056,nm0710020,nm0923736,nm0169505,nm0812513"
tt0114746,nm0000416,"nm0003408,nm0672459,nm0672466"
tt0114787,nm0001437,"nm0468169,nm0001437"
tt0114814,nm0001741,nm0003160
tt0116231,nm0877078,nm0877078
tt0116282,"nm0001054,nm0001053","nm0001053,nm0001054"
tt0117589,nm0005139,nm0005139
tt0117666,nm0000671,nm0000671
tt0117951,nm0000965,"nm0920543,nm0388076"
tt0118694,nm0939182,nm0939182
tt0118715,"nm0001054,nm0001053","nm0001053,nm0001054"
tt0118749,nm0000759,nm0000759
tt0118799,nm0000905,"nm0148437,nm0000905"
tt0118843,nm0001437,nm0586235
tt0118849,nm0006498,nm0006498
tt0119217,nm0001814,"nm0000354,nm0000255"
tt0119488,nm0000436,"nm0255278,nm0001338,nm0000436"
tt0119698,nm0594503,"nm0594503,nm0301274"
tt0120338,nm0000116,nm0000116
tt0120382,nm0001837,nm0629272
tt0120586,nm0443411,nm0571346
tt0120689,nm0001104,"nm0000175,nm0001104"
tt0120731,nm0868153,"nm0054621,nm0868153"
tt0120735,nm0005363,nm0005363
tt0120737,nm0001392,"nm0866058,nm0909638,nm0101991,nm0001392"
tt0120815,nm0000229,nm0734441
tt0126029,"nm0011470,nm0421776","nm0825308,nm0254645,nm0744429,nm0830294,nm0776107,nm0970606,nm1844237,nm0970447"
tt0129167,nm0083348,"nm0564827,nm0083348,nm0400954,nm0286715"
tt0133093,"nm0905154,nm0905152","nm0905152,nm0905154"
tt0137523,nm0000399,"nm0657333,nm0880243"
tt0140888,nm0758574,"nm0077094,nm0138676,nm0758574"
tt0154420,nm0899121,"nm0899121,nm0750000"
tt0156887,nm0464804,"nm0613444,nm0847621,nm1038897,nm0765126"
tt0166896,nm0000186,"nm0730034,nm0842156"
tt0166924,nm0000186,nm0000186
tt0167260,nm0001392,"nm0866058,nm0909638,nm0101991,nm0001392"
tt0167261,nm0001392,"nm0866058,nm0909638,nm0101991,nm0801728,nm0001392"
tt0167404,nm0796117,nm0796117
tt0169102,nm0332950,"nm0332950,nm1021349,nm1021353,nm1022153"
tt0169547,nm0005222,nm0050332
tt0169858,"nm0030417,nm0875453",nm0030417
tt0172495,nm0000631,"nm0291905,nm0517589,nm0629933"
tt0175880,nm0000759,nm0000759
tt0180093,nm0004716,"nm0782968,nm0004716"
tt0181875,nm0001081,nm0001081
tt0198781,"nm0230032,nm0798899,nm0881279","nm0230032,nm0191717,nm0682066,nm0250995,nm0004056,nm0314870"
tt0200087,nm0559877,"nm1195250,nm0559877,nm1597736"
tt0206634,nm0190859,"nm0190859,nm0786694,nm0033153,nm1318843,nm1319757,nm0416807"
tt0208092,nm0005363,nm0005363
tt0209144,nm0634240,"nm0634240,nm0634300"
tt0211915,nm0000466,"nm0491011,nm0000466"
tt0242519,nm0698184,"nm0796504,nm0482309,nm0903423,nm1019121"
tt0244316,nm0945981,nm0945981
tt0245429,nm0594503,nm0594503
tt0245712,nm0327944,nm0037247
tt0246578,nm0446819,nm0446819
tt0253474,nm0000591,"nm0367838,nm0844262"
tt0263438,nm0889943,"nm0354649,nm0889943,nm0948000"
tt0264464,nm0000229,"nm0622288,nm0007646,nm1127221"
tt0266543,"nm0004056,nm0881279","nm0004056,nm0677037,nm0721675"
tt0266697,nm0000233,"nm0000233,nm0000235"
tt0268978,nm0000165,"nm0326040,nm0621586"
tt0270053,"nm0258784,nm0814716",nm0258784
tt0276919,nm0001885,nm0001885
tt0292490,nm1027719,"nm1539594,nm1027719,nm10689808,nm1260845"
tt0293715,nm1030706,"nm1030519,nm1030706"
tt0304141,nm0190859,"nm0746830,nm0460141"
tt0317248,"nm0576987,nm0526199","nm0513130,nm1130251"
tt0317705,nm0083348,nm0083348
tt0319061,nm0000318,"nm1180620,nm0041864"
tt0325980,nm0893659,"nm0254645,nm0744429,nm0064181,nm0938684"
tt0338013,nm0327273,"nm0442109,nm0327273,nm1410028"
tt0338564,"nm0490487,nm0538320","nm0538320,nm0159039"
tt0347149,nm0594503,"nm0594503,nm1168510"
tt0352248,nm0000165,"nm0391132,nm0326040"
tt0353969,nm0094435,"nm0094435,nm1323286,nm1646563"
tt0359950,nm0001774,"nm0175726,nm0862122"
tt0361748,nm0000233,nm0000233
tt0363163,nm0386570,"nm0251536,nm0275264,nm0432622,nm0612199"
tt0364569,nm0661791,"nm1628380,nm2057405,nm0661791,nm1367409,nm1369364"
tt0365748,nm0942367,"nm0670408,nm0942367"
tt0367110,nm0332950,"nm1351784,nm0332950,nm1343477,nm1342923,nm1004422,nm3392919,nm3633352,nm2209781,nm1022153"
tt0369610,nm1119880,"nm0415425,nm0798646,nm1119880,nm2081046,nm0000341"
tt0369702,nm0024622,"nm0024622,nm0317834"
tt0371746,nm0269463,"nm1318843,nm1319757,nm1436466,nm0391344,nm0498278,nm1411347,nm1293367,nm0456158"
tt0372784,nm0634240,"nm0004170,nm0275286,nm0634240"
tt0374546,nm1104118,nm1104118
tt0374887,nm0386246,"nm0006765,nm0386246,nm1557876,nm1063072"
tt0375611,nm0080220,"nm0080220,nm1818188,nm1165501"
tt0378194,nm0000233,"nm0000233,nm0000235"
tt0381061,nm0132709,"nm0701031,nm0905498,nm0353673,nm0001220"
tt0381681,nm0000500,"nm0000500,nm0000365,nm0000160,nm0471811"
tt0382932,"nm0083348,nm0684342","nm0083348,nm0684342,nm0135296,nm1486235,nm1271884,nm0677037"
tt0384116,nm0814716,nm0948000
tt0386064,nm0437625,"nm0437625,nm3719468,nm3719540"
tt0395169,nm0313623,"nm0669311,nm0313623"
tt0398286,"nm0397174,nm1977355","nm1557594,nm0342278,nm0342303"
tt0401383,nm0773603,"nm0367838,nm1568285"
tt0401729,nm0004056,"nm0004056,nm0028764,nm0149290,nm0123194"
tt0401792,"nm0588340,nm0001675,nm0000233","nm0588340,nm0001675"
tt0405094,nm0003697,nm0003697
tt0405159,nm0000142,"nm0353673,nm0101801"
tt0405508,nm1018493,"nm1028832,nm1149334,nm1018493,nm0659238"
tt0407887,nm0000217,"nm1184258,nm0538320,nm0159039"
tt0408664,nm0466153,nm0466153
tt0409847,nm0269463,"nm0649460,nm0476064,nm0511541,nm1318843,nm1319757,nm0644203,nm0003321"
tt0429493,nm0138620,"nm0138620,nm0089141,nm0940790,nm0526967,nm0004798"
tt0432283,nm0027572,"nm0001094,nm0027572,nm0000876"
tt0433035,nm0506613,"nm0309691,nm0319659,nm0505230,nm0558577"
tt0434409,nm0574625,"nm0905152,nm0905154,nm2331222"
tt0435761,nm0881279,"nm0005124,nm0004056,nm0881279,nm1578335"
tt0437086,nm0001675,"nm0000116,nm0436164,nm1738737"
tt0440963,nm0339030,"nm0006904,nm1994243,nm1079776,nm0524924"
tt0443272,nm0000229,"nm1065785,nm0329447"
tt0446029,nm0942367,"nm0045209,nm0942367,nm1854069"
tt0448115,nm2497546,"nm2849655,nm0501359,nm1791910,nm1304148"
tt0450259,nm0001880,"nm0495378,nm2057149"
tt0451279,nm0420941,"nm0374302,nm0811583,nm0297229,nm0551376,nm4243936"
tt0454876,nm0000487,"nm1674631,nm1341735"
tt0454921,nm0610831,nm0175726
tt0455944,nm0298807,"nm0921013,nm0805994,nm2030456"
tt0456144,nm0386246,"nm0006765,nm0386246,nm0430785"
tt0457430,nm0868219,nm0868219
tt0458339,nm0002653,"nm1321655,nm1321656,nm0800209,nm0456158"
tt0468569,nm0634240,"nm0634300,nm0634240,nm0275286,nm0004170"
tt0469494,nm0000759,"nm0000759,nm0801737"
tt0470752,nm0307497,nm0307497
tt0473075,nm0001565,"nm0945026,nm1215164,nm0076166,nm0575338"
tt0476735,nm1463981,nm1463981
tt0477080,nm0001716,nm0093560
tt0477348,"nm0001053,nm0001054","nm0001054,nm0001053,nm0565092"
tt0478970,nm0715636,"nm0942367,nm0180428,nm0570912,nm0748620,nm0498278,nm1293367,nm0456158"
tt0481499,"nm0210320,nm0761498","nm0210320,nm0761498,nm0000092"
tt0482571,nm0634240,"nm0634300,nm0634240,nm1793993"
tt0499549,nm0000116,nm0000116
tt0758752,nm0001880,"nm1017488,nm0001880,nm0380980,nm2168221"
tt0758758,nm0000576,"nm0000576,nm1040556"
tt0770828,nm0811583,"nm0275286,nm0634240,nm0796950,nm0795975"
tt0780504,nm0716347,"nm0024925,nm2201245"
tt0780536,nm1732981,nm1732981
tt0790636,nm0885249,"nm1258965,nm2214893"
tt0790724,nm0003160,"nm1676193,nm0003160"
tt0796366,nm0009190,"nm0649460,nm0476064,nm0734472"
tt0800320,nm0504642,"nm2012438,nm0006534,nm0542062,nm0189117"
tt0800369,nm0000110,"nm1005420,nm0826714,nm0668309,nm0833089,nm0698873,nm0498278,nm1293367,nm0456158"
tt0803096,nm1512910,"nm0495378,nm1512910"
tt0808417,"nm1749112,nm2277869","nm2277869,nm1749112"
tt0816692,nm0634240,"nm0634300,nm0634240"
tt0816711,nm0286975,"nm1996352,nm1206844,nm0511541,nm0833089,nm0112150"
tt0829150,nm2411495,"nm1948885,nm2332952,nm0831290"
tt0831387,nm2284484,"nm0393094,nm0613609,nm0443227,nm1709264,nm1440919"
tt0837562,nm0850733,"nm0063165,nm0806912,nm0244110,nm1087952,nm1156984"
tt0840361,nm0000255,"nm0185976,nm0000255,nm0830760,nm2353561"
tt0848228,nm0923736,"nm0923736,nm0672015"
tt0861739,nm0655683,"nm0655683,nm1284081,nm1130251,nm1284450,nm2845583"
tt0870154,nm1429471,"nm0338169,nm0275629,nm0720135,nm0636358,nm0326247"
tt0871510,nm0024912,nm1156290
tt0892769,"nm0213450,nm0761498","nm0204030,nm0213450,nm0761498,nm2441763,nm0405190,nm1104057"
tt0892791,nm0593610,"nm0458441,nm0501359,nm0825308,nm0011470,nm0254645,nm0744429,nm0776107,nm0794252,nm0830294,nm2593444"
tt0903624,nm0001392,"nm0909638,nm0101991,nm0001392,nm0868219,nm0866058"
tt0910970,nm0004056,"nm0004056,nm0230032,nm0714114"
tt0926084,nm0946734,"nm0460141,nm0746830"
tt0944835,nm0637518,nm0934483
tt0945513,nm1512910,nm1618286
tt0947798,nm0004716,"nm2114730,nm0374560,nm0572352"
tt0948470,nm1989536,"nm0888743,nm0765091,nm0460141,nm0498278,nm0228492"
tt0955308,nm0000631,"nm0001338,nm0717550,nm0903456"
tt0964517,nm0751102,"nm0798788,nm0848496,nm2053216,nm2565612"
tt0970179,nm0000217,"nm0517589,nm2561765"
tt0974015,nm0811583,"nm0796950,nm0795975,nm0006516,nm0811583,nm0923736,nm1189346,nm0004170,nm0277730,nm0551376,nm0456158"
tt0978762,nm0254178,nm0254178
tt0978764,nm0811583,"nm0811583,nm0793122"
tt0983193,nm0000229,"nm0378960,nm0595590,nm0942367,nm0180428"
tt0985694,"nm0542450,nm0001675","nm0001675,nm0736155"
tt0986264,"nm0451148,nm1244760",nm1244760
tt0993842,nm0942504,"nm2605946,nm1016333"
tt0993846,nm0000217,"nm1010540,nm0067789"
tt1001526,nm0569891,"nm0774786,nm2523794"
tt1010048,"nm0000965,nm0849164","nm0064479,nm3139511"
tt1013743,nm0003506,nm0642277
tt1014759,nm0000318,"nm0941314,nm0140902"
tt1016150,nm0074163,"nm0074163,nm0665510,nm1748106,nm0718871"
tt10189514,nm1464314,"nm1464314,nm5289834,nm7373491,nm8641855,nm6314922,nm13222819,nm8985377"
tt1024648,nm0000255,"nm0006516,nm5410196,nm2646452"
tt10272386,nm1725469,"nm0358960,nm1725469"
tt10280296,nm1999473,"nm2009626,nm1937760"
tt1028532,nm0002120,"nm2124742,nm0793881"
tt10295212,nm3315387,nm2196143
tt10324144,nm1025280,"nm1025280,nm3985391"
tt1033575,nm0668247,"nm0668247,nm0269542,nm0711110,nm2655611"
tt10366206,nm0821432,"nm8748334,nm3360218,nm4401003"
tt10366460,nm1571761,"nm1571761,nm2605079,nm0141133,nm0489309,nm0081179"
tt1037705,"nm0400436,nm0400441",nm1729428
tt10431500,nm3133017,nm3374012
tt1045658,nm0751102,"nm0751102,nm2683048"
tt1049413,"nm0230032,nm0677037","nm0230032,nm0677037,nm0565336"
tt1051906,nm1191481,"nm1191481,nm0920229"
tt10648342,nm0169806,"nm0169806,nm3066492,nm0498278,nm1293367,nm0456158,nm4160687,nm1921680,nm1411347,nm2757098,nm0317493,nm3053444"
tt1065073,nm0000500,nm0000500
tt1069238,nm0847690,nm2725830
tt10698680,nm6073824,"nm14430933,nm14889366,nm6073824"
tt1074638,nm0005222,"nm0701031,nm0905498,nm0517589,nm0001220"
tt1077368,nm0000318,"nm0334381,nm0041864,nm0193303"
tt10811166,nm1892252,"nm1892252,nm7374541"
tt10838180,nm0905154,"nm0905154,nm3290967,nm3097752,nm0905152"
tt10872600,nm1218281,"nm0571344,nm1273099,nm0498278,nm0228492"
tt1091191,nm0000916,"nm0000916,nm2877226,nm0732961"
tt1092026,nm0609549,"nm0670408,nm0296545"
tt10954600,nm0715636,"nm3278218,nm0498278,nm1293367,nm0456158,nm7281223"
tt10954984,nm1443502,nm1443502
tt11032374,nm1417038,"nm10281577,nm11019861"
