tconst,ordering,nconst,category,job,characters
tt0114814,10,nm0191896,production_designer,\N,\N
tt0114814,1,nm0000228,actor,\N,"[""Verbal""]"
tt0114814,2,nm0000321,actor,\N,"[""Keaton""]"
tt0114814,3,nm0001590,actor,\N,"[""Dave Kujan""]"
tt0114814,4,nm0000286,actor,\N,"[""McManus""]"
tt0114814,5,nm0001741,director,\N,\N
tt0114814,6,nm0003160,writer,written by,\N
tt0114814,7,nm0568120,producer,producer,\N
tt0114814,8,nm0653211,composer,\N,\N
tt0114814,9,nm0005875,cinematographer,director of photography,\N
tt0116231,10,nm0406669,cinematographer,\N,\N
tt0116231,1,nm0784038,actor,\N,"[""Baran""]"
tt0116231,2,nm0951309,actor,\N,"[""Cumali""]"
tt0116231,3,nm0784039,actress,\N,"[""Keje""]"
tt0116231,4,nm0758487,actress,\N,"[""Emel""]"
tt0116231,5,nm0877078,director,\N,\N
tt0116231,6,nm0889942,producer,producer,\N
tt0116231,7,nm0889943,producer,producer,\N
tt0116231,8,nm0037600,composer,\N,\N
tt0116231,9,nm0644829,composer,\N,\N
tt0116282,1,nm0000513,actor,\N,"[""Jerry Lundegaard""]"
tt0116282,2,nm0000531,actress,\N,"[""Marge Gunderson""]"
tt0116282,3,nm0000114,actor,\N,"[""Carl Showalter""]"
tt0116282,4,nm0001780,actor,\N,"[""Gaear Grimsrud""]"
tt0116282,5,nm0001054,director,\N,\N
tt0116282,6,nm0001053,director,\N,\N
tt0116282,7,nm0001980,composer,\N,\N
tt0116282,8,nm0005683,cinematographer,director of photography,\N
tt0116282,9,nm0374511,production_designer,\N,\N
tt0117589,10,nm0158360,production_designer,\N,\N
tt0117589,1,nm0001758,actor,\N,"[""Maurice""]"
tt0117589,2,nm0000950,actress,\N,"[""Cynthia""]"
tt0117589,3,nm0517642,actress,\N,"[""Monica""]"
tt0117589,4,nm0750718,actress,\N,"[""Roxanne""]"
tt0117589,5,nm0005139,director,\N,\N
tt0117589,6,nm0151925,producer,producer,\N
tt0117589,7,nm0225614,composer,\N,\N
tt0117589,8,nm0005836,cinematographer,\N,\N
tt0117589,9,nm0339856,editor,\N,\N
tt0117666,10,nm0402763,production_designer,\N,\N
tt0117666,1,nm0000671,actor,\N,"[""Karl Childers""]"
tt0117666,2,nm0948267,actor,\N,"[""Doyle Hargraves""]"
tt0117666,3,nm0000687,actor,\N,"[""Charles Bushman""]"
tt0117666,4,nm0000615,actor,\N,"[""Vaughan Cunningham""]"
tt0117666,5,nm0124239,producer,producer,\N
tt0117666,6,nm0744046,producer,producer,\N
tt0117666,7,nm0487011,composer,\N,\N
tt0117666,8,nm0548718,cinematographer,director of photography,\N
tt0117666,9,nm0003893,editor,\N,\N
tt0117951,10,nm0386227,editor,\N,\N
tt0117951,1,nm0000191,actor,\N,"[""Renton""]"
tt0117951,2,nm0001971,actor,\N,"[""Spud""]"
tt0117951,3,nm0001538,actor,\N,"[""Sick Boy""]"
tt0117951,4,nm0571727,actor,\N,"[""Tommy""]"
tt0117951,5,nm0000965,director,\N,\N
tt0117951,6,nm0920543,writer,based on the novel by,\N
tt0117951,7,nm0388076,writer,screenplay,\N
tt0117951,8,nm0531602,producer,producer,\N
tt0117951,9,nm0005909,cinematographer,director of photography,\N
tt0118694,10,nm0496742,cinematographer,\N,\N
tt0118694,1,nm0504897,actor,\N,"[""Chow Mo-wan""]"
tt0118694,2,nm0001041,actress,\N,"[""Su Li-zhen - Mrs. Chan""]"
tt0118694,3,nm0803310,actor,\N,"[""Ah Ping""]"
tt0118694,4,nm0156432,actor,\N,"[""Man living in Mr. Koo's apartment""]"
tt0118694,5,nm0939182,director,\N,\N
tt0118694,6,nm0301704,composer,\N,\N
tt0118694,7,nm0880839,composer,\N,\N
tt0118694,8,nm0236313,cinematographer,\N,\N
tt0118694,9,nm0477095,cinematographer,\N,\N
tt0118715,10,nm0374511,production_designer,\N,\N
tt0118715,1,nm0000313,actor,\N,"[""The Dude""]"
tt0118715,2,nm0000422,actor,\N,"[""Walter Sobchak""]"
tt0118715,3,nm0000194,actress,\N,"[""Maude Lebowski""]"
tt0118715,4,nm0000114,actor,\N,"[""Theodore Donald 'Donny' Kerabatsos""]"
tt0118715,5,nm0001054,director,\N,\N
tt0118715,6,nm0001053,director,\N,\N
tt0118715,7,nm0001980,composer,\N,\N
tt0118715,8,nm0005683,cinematographer,director of photography,\N
tt0118715,9,nm0177504,editor,\N,\N
tt0118749,10,nm0005696,cinematographer,director of photography,\N
tt0118749,1,nm0000242,actor,\N,"[""Eddie Adams"",""Dirk Diggler""]"
tt0118749,2,nm0000194,actress,\N,"[""Amber Waves""]"
tt0118749,3,nm0000608,actor,\N,"[""Jack Horner""]"
tt0118749,4,nm0350079,actor,\N,"[""Maurice t.t. Rodriguez""]"
tt0118749,5,nm0000759,director,\N,\N
tt0118749,6,nm0505656,producer,producer,\N
tt0118749,7,nm0529092,producer,producer,\N
tt0118749,8,nm0783280,producer,producer,\N
tt0118749,9,nm0005304,composer,\N,\N
tt0118799,10,nm0005686,cinematographer,director of photography,\N
tt0118799,1,nm0000905,actor,\N,"[""Guido""]"
tt0118799,2,nm0000971,actress,\N,"[""Dora""]"
tt0118799,3,nm0134493,actor,\N,"[""Giosué""]"
tt0118799,4,nm0243842,actor,\N,"[""Zio""]"
tt0118799,5,nm0148437,writer,story by,\N
tt0118799,6,nm0105346,producer,producer,\N
tt0118799,7,nm0001897,producer,producer,\N
tt0118799,8,nm0274754,producer,producer,\N
tt0118799,9,nm0003607,composer,\N,\N
tt0118843,10,nm0816914,composer,\N,\N
tt0118843,1,nm0786281,actor,\N,"[""Matko Destanov""]"
tt0118843,2,nm0865411,actor,\N,"[""Dadan Karambolo""]"
tt0118843,3,nm0441287,actress,\N,"[""Ida""]"
tt0118843,4,nm0014981,actor,\N,"[""Zare Destanov""]"
tt0118843,5,nm0001437,director,\N,\N
tt0118843,6,nm0586235,writer,writer,\N
tt0118843,7,nm0062362,producer,producer,\N
tt0118843,8,nm0032916,composer,\N,\N
tt0118843,9,nm0438785,composer,\N,\N
tt0118849,10,nm0368359,editor,\N,\N
tt0118849,1,nm0619870,actor,\N,"[""Ali's Father""]"
tt0118849,2,nm0268488,actor,\N,"[""Ali""]"
tt0118849,3,nm0781245,actress,\N,"[""Zahra""]"
tt0118849,4,nm0415412,actress,\N,"[""Roya""]"
tt0118849,5,nm0006498,director,\N,\N
tt0118849,6,nm0260556,producer,producer,\N
tt0118849,7,nm0260557,producer,producer,\N
tt0118849,8,nm0415663,composer,\N,\N
tt0118849,9,nm0539342,cinematographer,\N,\N
tt0119217,10,nm0829681,production_designer,\N,\N
tt0119217,1,nm0000245,actor,\N,"[""Sean""]"
tt0119217,2,nm0000354,actor,\N,"[""Will""]"
tt0119217,3,nm0000255,actor,\N,"[""Chuckie""]"
tt0119217,4,nm0001745,actor,\N,"[""Lambeau""]"
tt0119217,5,nm0001814,director,\N,\N
tt0119217,6,nm0004744,producer,producer,\N
tt0119217,7,nm0000384,composer,\N,\N
tt0119217,8,nm0260389,cinematographer,director of photography,\N
tt0119217,9,nm0768817,editor,\N,\N
tt0119488,10,nm0000025,composer,\N,\N
tt0119488,1,nm0000228,actor,\N,"[""Jack Vincennes""]"
tt0119488,2,nm0000128,actor,\N,"[""Bud White""]"
tt0119488,3,nm0001602,actor,\N,"[""Ed Exley""]"
tt0119488,4,nm0000107,actress,\N,"[""Lynn Bracken""]"
tt0119488,5,nm0000436,director,\N,\N
tt0119488,6,nm0255278,writer,based on the novel by,\N
tt0119488,7,nm0001338,writer,screenplay by,\N
tt0119488,8,nm0586969,producer,producer,\N
tt0119488,9,nm0622296,producer,producer,\N
tt0119698,10,nm0786707,editor,\N,\N
tt0119698,1,nm0559444,actor,\N,"[""Ashitaka""]"
tt0119698,2,nm0410942,actress,\N,"[""San"",""Mononoke-Hime"",""Kaya""]"
tt0119698,3,nm0849100,actress,\N,"[""Eboshi-gozen""]"
tt0119698,4,nm0001082,actor,\N,"[""Ashitaka""]"
tt0119698,5,nm0594503,director,\N,\N
tt0119698,6,nm0301274,writer,adapted by: English version,\N
tt0119698,7,nm0840699,producer,producer,\N
tt0119698,8,nm0386749,composer,\N,\N
tt0119698,9,nm0645777,cinematographer,\N,\N
tt0120338,10,nm0365239,editor,\N,\N
tt0120338,1,nm0000138,actor,\N,"[""Jack Dawson""]"
tt0120338,2,nm0000701,actress,\N,"[""Rose Dewitt Bukater""]"
tt0120338,3,nm0000708,actor,\N,"[""Cal Hockley""]"
tt0120338,4,nm0000870,actress,\N,"[""Molly Brown""]"
tt0120338,5,nm0000116,director,\N,\N
tt0120338,6,nm0484457,producer,producer,\N
tt0120338,7,nm0000035,composer,\N,\N
tt0120338,8,nm0005665,cinematographer,director of photography,\N
tt0120338,9,nm0119322,editor,\N,\N
tt0120382,10,nm0902129,composer,\N,\N
tt0120382,1,nm0000120,actor,\N,"[""Truman Burbank""]"
tt0120382,2,nm0000438,actor,\N,"[""Christof""]"
tt0120382,3,nm0001473,actress,\N,"[""Meryl Burbank"",""Hannah Gill""]"
tt0120382,4,nm0001187,actor,\N,"[""Marlon""]"
tt0120382,5,nm0001837,director,\N,\N
tt0120382,6,nm0629272,writer,written by,\N
tt0120382,7,nm0271026,producer,producer,\N
tt0120382,8,nm0748784,producer,producer,\N
tt0120382,9,nm0775443,producer,producer,\N
tt0120586,10,nm0374189,editor,\N,\N
tt0120586,1,nm0001570,actor,\N,"[""Derek""]"
tt0120586,2,nm0000411,actor,\N,"[""Danny""]"
tt0120586,3,nm0000350,actress,\N,"[""Doris""]"
tt0120586,4,nm0000497,actress,\N,"[""Davina""]"
tt0120586,5,nm0443411,director,\N,\N
tt0120586,6,nm0571346,writer,written by,\N
tt0120586,7,nm0554204,producer,producer,\N
tt0120586,8,nm0006050,composer,\N,\N
tt0120586,9,nm0338513,editor,\N,\N
tt0120689,10,nm0290358,editor,\N,\N
tt0120689,1,nm0000158,actor,\N,"[""Paul Edgecomb""]"
tt0120689,2,nm0003817,actor,\N,"[""John Coffey""]"
tt0120689,3,nm0001556,actor,\N,"[""Brutus 'Brutal' Howell""]"
tt0120689,4,nm0001372,actress,\N,"[""Jan Edgecomb""]"
tt0120689,5,nm0001104,director,\N,\N
tt0120689,6,nm0000175,writer,novel,\N
tt0120689,7,nm0883603,producer,producer,\N
tt0120689,8,nm0002353,composer,\N,\N
tt0120689,9,nm0005897,cinematographer,director of photography,\N
tt0120731,10,nm0295698,production_designer,\N,\N
tt0120731,1,nm0000619,actor,\N,"[""Novecento""]"
tt0120731,2,nm0898546,actor,\N,"[""Max""]"
tt0120731,3,nm0858048,actress,\N,"[""La ragazza""]"
tt0120731,4,nm0638056,actor,\N,"[""Danny""]"
tt0120731,5,nm0868153,director,\N,\N
tt0120731,6,nm0054621,writer,monologue Novecento,\N
tt0120731,7,nm0001553,composer,\N,\N
tt0120731,8,nm0005759,cinematographer,\N,\N
tt0120731,9,nm0702760,editor,\N,\N
tt0120735,10,nm0398167,editor,\N,\N
tt0120735,1,nm0002076,actor,\N,"[""Tom""]"
tt0120735,2,nm0002077,actor,\N,"[""Soap""]"
tt0120735,3,nm0602941,actor,\N,"[""Eddy""]"
tt0120735,4,nm0005458,actor,\N,"[""Bacon""]"
tt0120735,5,nm0005363,director,\N,\N
tt0120735,6,nm0891216,producer,producer,\N
tt0120735,7,nm0400542,composer,\N,\N
tt0120735,8,nm0614373,composer,\N,\N
tt0120735,9,nm0362165,cinematographer,director of photography,\N
tt0120737,10,nm0761744,producer,producer,\N
tt0120737,1,nm0000704,actor,\N,"[""Frodo""]"
tt0120737,2,nm0005212,actor,\N,"[""Gandalf""]"
tt0120737,3,nm0089217,actor,\N,"[""Legolas""]"
tt0120737,4,nm0000293,actor,\N,"[""Boromir""]"
tt0120737,5,nm0001392,director,\N,\N
tt0120737,6,nm0866058,writer,"novel ""The Fellowship of the Ring""",\N
tt0120737,7,nm0909638,writer,screenplay,\N
tt0120737,8,nm0101991,writer,screenplay,\N
tt0120737,9,nm0651614,producer,producer,\N
tt0120815,10,nm0002354,composer,\N,\N
tt0120815,1,nm0000158,actor,\N,"[""Captain Miller""]"
tt0120815,2,nm0000354,actor,\N,"[""Private Ryan""]"
tt0120815,3,nm0001744,actor,\N,"[""Sergeant Horvath""]"
tt0120815,4,nm0122653,actor,\N,"[""Private Reiben""]"
tt0120815,5,nm0000229,director,\N,\N
tt0120815,6,nm0734441,writer,written by,\N
tt0120815,7,nm0117290,producer,producer,\N
tt0120815,8,nm0330428,producer,producer,\N
tt0120815,9,nm0506013,producer,producer,\N
tt0126029,10,nm0830294,writer,written by,\N
tt0126029,1,nm0000196,actor,\N,"[""Shrek"",""Blind Mouse"",""Opening Narration""]"
tt0126029,2,nm0000552,actor,\N,"[""Donkey""]"
tt0126029,3,nm0000139,actress,\N,"[""Princess Fiona""]"
tt0126029,4,nm0001475,actor,\N,"[""Lord Farquaad""]"
tt0126029,5,nm0011470,director,\N,\N
tt0126029,6,nm0421776,director,\N,\N
tt0126029,7,nm0825308,writer,based upon the book by,\N
tt0126029,8,nm0254645,writer,written by,\N
tt0126029,9,nm0744429,writer,written by,\N
tt0129167,10,nm0005197,producer,producer,\N
tt0129167,1,nm0547349,actor,\N,"[""Hogarth Hughes""]"
tt0129167,2,nm0001065,actor,\N,"[""Dean McCoppin""]"
tt0129167,3,nm0000098,actress,\N,"[""Annie Hughes""]"
tt0129167,4,nm0004874,actor,\N,"[""The Iron Giant""]"
tt0129167,5,nm0083348,director,\N,\N
tt0129167,6,nm0564827,writer,screenplay by,\N
tt0129167,7,nm0400954,writer,"based on the book ""The Iron Man"" by",\N
tt0129167,8,nm0286715,writer,screenplay by,\N
tt0129167,9,nm0007831,producer,producer,\N
tt0133093,10,nm0821205,editor,\N,\N
tt0133093,1,nm0000206,actor,\N,"[""Neo""]"
tt0133093,2,nm0000401,actor,\N,"[""Morpheus""]"
tt0133093,3,nm0005251,actress,\N,"[""Trinity""]"
tt0133093,4,nm0915989,actor,\N,"[""Agent Smith""]"
tt0133093,5,nm0905154,director,\N,\N
tt0133093,6,nm0905152,director,\N,\N
tt0133093,7,nm0005428,producer,producer,\N
tt0133093,8,nm0204485,composer,\N,\N
tt0133093,9,nm0691084,cinematographer,director of photography,\N
tt0137523,10,nm0513165,producer,producer,\N
tt0137523,1,nm0000093,actor,\N,"[""Tyler Durden""]"
tt0137523,2,nm0001570,actor,\N,"[""Narrator""]"
tt0137523,3,nm0001533,actor,\N,"[""Robert Paulsen""]"
tt0137523,4,nm0340260,actor,\N,"[""Richard Chesler (Regional Manager)""]"
tt0137523,5,nm0000399,director,\N,\N
tt0137523,6,nm0657333,writer,based on the novel by,\N
tt0137523,7,nm0880243,writer,screenplay by,\N
tt0137523,8,nm0068501,producer,producer,\N
tt0137523,9,nm0149556,producer,producer,\N
tt0140888,10,nm0000602,producer,producer,\N
tt0140888,1,nm0005244,actress,\N,"[""Isadora""]"
tt0140888,2,nm0646737,actor,\N,"[""Josué""]"
tt0140888,3,nm0702479,actress,\N,"[""Irene""]"
tt0140888,4,nm0513913,actress,\N,"[""Ana""]"
tt0140888,5,nm0758574,director,\N,\N
tt0140888,6,nm0077094,writer,writer,\N
tt0140888,7,nm0138676,writer,writer,\N
tt0140888,8,nm0004453,producer,producer,\N
tt0140888,9,nm0166439,producer,producer,\N
tt0154420,10,nm0652020,editor,\N,\N
tt0154420,1,nm0860947,actor,\N,"[""Christian""]"
tt0154420,2,nm0605786,actor,\N,"[""Faderen""]"
tt0154420,3,nm0488917,actor,\N,"[""Michael""]"
tt0154420,4,nm0824785,actress,\N,"[""Helene""]"
tt0154420,5,nm0899121,director,\N,\N
tt0154420,6,nm0750000,writer,screenplay,\N
tt0154420,7,nm0354774,producer,producer,\N
tt0154420,8,nm0421575,composer,\N,\N
tt0154420,9,nm0230045,cinematographer,\N,\N
tt0156887,10,nm0409279,producer,producer,\N
tt0156887,1,nm0412585,actress,\N,"[""Mima Kirigoe""]"
tt0156887,2,nm0559551,actress,\N,"[""Rumi""]"
tt0156887,3,nm0875320,actor,\N,"[""Tadokoro""]"
tt0156887,4,nm0959991,actor,\N,"[""Uchida""]"
tt0156887,5,nm0464804,director,\N,\N
tt0156887,6,nm0613444,writer,screenplay,\N
tt0156887,7,nm0847621,writer,"novel ""Pâfekuto burû: Kanzen hentai""",\N
tt0156887,8,nm1038897,writer,translation,\N
tt0156887,9,nm0765126,writer,adaptation,\N
tt0166896,10,nm0005711,cinematographer,director of photography,\N
tt0166896,1,nm0002070,actor,\N,"[""Alvin""]"
tt0166896,2,nm0000651,actress,\N,"[""Rose""]"
tt0166896,3,nm1886964,actress,\N,"[""Dorothy""]"
tt0166896,4,nm0139388,actor,\N,"[""Bud""]"
tt0166896,5,nm0000186,director,\N,\N
tt0166896,6,nm0730034,writer,written by,\N
tt0166896,7,nm0842156,writer,written by,\N
tt0166896,8,nm0249050,producer,producer,\N
tt0166896,9,nm0000823,composer,\N,\N
tt0166924,10,nm0842156,producer,producer,\N
tt0166924,1,nm0915208,actress,\N,"[""Betty Elms"",""Diane Selwyn""]"
tt0166924,2,nm0005009,actress,\N,"[""Rita"",""Camilla Rhodes""]"
tt0166924,3,nm0857620,actor,\N,"[""Adam""]"
tt0166924,4,nm0060931,actress,\N,"[""Irene""]"
tt0166924,5,nm0000186,director,\N,\N
tt0166924,6,nm0249050,producer,producer,\N
tt0166924,7,nm0469813,producer,producer,\N
tt0166924,8,nm0688789,producer,producer,\N
tt0166924,9,nm0764963,producer,producer,\N
tt0167260,10,nm0651614,producer,producer,\N
tt0167260,1,nm0000704,actor,\N,"[""Frodo""]"
tt0167260,2,nm0001557,actor,\N,"[""Aragorn""]"
tt0167260,3,nm0005212,actor,\N,"[""Gandalf""]"
tt0167260,4,nm0089217,actor,\N,"[""Legolas""]"
tt0167260,5,nm0001392,director,\N,\N
tt0167260,6,nm0866058,writer,"novel ""The Return of the King""",\N
tt0167260,7,nm0909638,writer,screenplay,\N
tt0167260,8,nm0101991,writer,screenplay,\N
tt0167260,9,nm8662749,producer,producer,\N
tt0167261,10,nm8662749,producer,producer,\N
tt0167261,1,nm0000704,actor,\N,"[""Frodo""]"
tt0167261,2,nm0005212,actor,\N,"[""Gandalf""]"
tt0167261,3,nm0001557,actor,\N,"[""Aragorn""]"
tt0167261,4,nm0089217,actor,\N,"[""Legolas""]"
tt0167261,5,nm0001392,director,\N,\N
tt0167261,6,nm0866058,writer,"novel ""The Two Towers""",\N
tt0167261,7,nm0909638,writer,screenplay,\N
tt0167261,8,nm0101991,writer,screenplay,\N
tt0167261,9,nm0801728,writer,screenplay,\N
tt0167404,10,nm0005714,cinematographer,director of photography,\N
tt0167404,1,nm0000246,actor,\N,"[""Malcolm Crowe""]"
tt0167404,2,nm0005286,actor,\N,"[""Cole Sear""]"
tt0167404,3,nm0001057,actress,\N,"[""Lynn Sear""]"
tt0167404,4,nm0931404,actress,\N,"[""Anna Crowe""]"
tt0167404,5,nm0796117,director,\N,\N
tt0167404,6,nm0005086,producer,producer,\N
tt0167404,7,nm0550881,producer,producer,\N
tt0167404,8,nm0578814,producer,producer,\N
tt0167404,9,nm0006133,composer,\N,\N
tt0169102,10,nm0576540,cinematographer,\N,\N
tt0169102,1,nm0451148,actor,\N,"[""Bhuvan""]"
tt0169102,2,nm0944834,actor,\N,"[""Bhura""]"
tt0169102,3,nm0961737,actress,\N,"[""Gauri""]"
tt0169102,4,nm0791226,actress,\N,"[""Elizabeth Russell""]"
tt0169102,5,nm0332950,director,\N,\N
tt0169102,6,nm1021349,writer,screenplay,\N
tt0169102,7,nm1021353,writer,screenplay,\N
tt0169102,8,nm1022153,writer,dialogue,\N
tt0169102,9,nm0006246,composer,\N,\N
tt0169547,10,nm0005734,cinematographer,director of photography,\N
tt0169547,1,nm0000228,actor,\N,"[""Lester Burnham""]"
tt0169547,2,nm0000906,actress,\N,"[""Carolyn Burnham""]"
tt0169547,3,nm0000301,actress,\N,"[""Jane Burnham""]"
tt0169547,4,nm0004747,actor,\N,"[""Ricky Fitts""]"
tt0169547,5,nm0005222,director,\N,\N
tt0169547,6,nm0050332,writer,written by,\N
tt0169547,7,nm0169260,producer,producer,\N
tt0169547,8,nm0423134,producer,producer,\N
tt0169547,9,nm0002353,composer,\N,\N
tt0169858,10,nm0935313,producer,producer,\N
tt0169858,1,nm0644527,actress,\N,"[""Shinji Ikari""]"
tt0169858,2,nm0370677,actress,\N,"[""Rei Ayanami"",""Yui Ikari""]"
tt0169858,3,nm0594436,actress,\N,"[""Asuka Langley Sôryû""]"
tt0169858,4,nm0594074,actress,\N,"[""Misato Katsuragi""]"
tt0169858,5,nm0030417,director,"senior director: segment ""Magokoro o, kimi ni""",\N
tt0169858,6,nm0875453,director,\N,\N
tt0169858,7,nm0411070,producer,producer,\N
tt0169858,8,nm0434393,producer,executive producer,\N
tt0169858,9,nm0497485,producer,producer,\N
tt0172495,10,nm0926824,producer,producer,\N
tt0172495,1,nm0000128,actor,\N,"[""Maximus""]"
tt0172495,2,nm0001618,actor,\N,"[""Commodus""]"
tt0172495,3,nm0001567,actress,\N,"[""Lucilla""]"
tt0172495,4,nm0001657,actor,\N,"[""Proximo""]"
tt0172495,5,nm0000631,director,\N,\N
tt0172495,6,nm0291905,writer,story,\N
tt0172495,7,nm0517589,writer,screenplay,\N
tt0172495,8,nm0629933,writer,screenplay,\N
tt0172495,9,nm0527322,producer,producer,\N
tt0175880,10,nm0036670,production_designer,\N,\N
tt0175880,1,nm0000129,actor,\N,"[""Frank T.J. Mackey""]"
tt0175880,2,nm0001673,actor,\N,"[""Earl Partridge""]"
tt0175880,3,nm0000194,actress,\N,"[""Linda Partridge""]"
tt0175880,4,nm0000450,actor,\N,"[""Phil Parma""]"
tt0175880,5,nm0000759,director,\N,\N
tt0175880,6,nm0783280,producer,producer,\N
tt0175880,7,nm0109726,composer,\N,\N
tt0175880,8,nm0005696,cinematographer,director of photography,\N
tt0175880,9,nm0862664,editor,\N,\N
tt0180093,10,nm0508732,cinematographer,director of photography,\N
tt0180093,1,nm0000995,actress,\N,"[""Sara Goldfarb""]"
tt0180093,2,nm0001467,actor,\N,"[""Harry Goldfarb""]"
tt0180093,3,nm0000124,actress,\N,"[""Marion Silver""]"
tt0180093,4,nm0005541,actor,\N,"[""Tyrone C. Love""]"
tt0180093,5,nm0004716,director,\N,\N
tt0180093,6,nm0782968,writer,based on the book by,\N
tt0180093,7,nm0914615,producer,producer,\N
tt0180093,8,nm0922279,producer,producer,\N
tt0180093,9,nm0543739,composer,\N,\N
tt0181875,10,nm0458964,editor,\N,\N
tt0181875,1,nm0001082,actor,\N,"[""Russell Hammond""]"
tt0181875,2,nm0297578,actor,\N,"[""William Miller""]"
tt0181875,3,nm0005028,actress,\N,"[""Penny Lane""]"
tt0181875,4,nm0000531,actress,\N,"[""Elaine Miller""]"
tt0181875,5,nm0001081,director,\N,\N
tt0181875,6,nm0117290,producer,producer,\N
tt0181875,7,nm0933896,composer,\N,\N
tt0181875,8,nm0001799,cinematographer,director of photography,\N
tt0181875,9,nm0404528,editor,\N,\N
tt0198781,10,nm0250995,writer,original story by,\N
tt0198781,1,nm0000345,actor,\N,"[""Mike""]"
tt0198781,2,nm0000422,actor,\N,"[""Sullivan""]"
tt0198781,3,nm0316701,actress,\N,"[""Boo""]"
tt0198781,4,nm0000114,actor,\N,"[""Randall""]"
tt0198781,5,nm0230032,director,\N,\N
tt0198781,6,nm0798899,director,co-director,\N
tt0198781,7,nm0881279,director,co-director,\N
tt0198781,8,nm0191717,writer,original story by,\N
tt0198781,9,nm0682066,writer,original story by,\N
tt0200087,10,nm1269729,composer,\N,\N
tt0200087,1,nm0787462,actor,\N,"[""Gulfam Hassan""]"
tt0200087,2,nm0451148,actor,\N,"[""Ajay Singh Rathod""]"
tt0200087,3,nm0007114,actress,\N,"[""Seema""]"
tt0200087,4,nm0728262,actor,\N,"[""INSP. Salim""]"
tt0200087,5,nm0559877,director,\N,\N
tt0200087,6,nm1195250,writer,dialogue,\N
tt0200087,7,nm1597736,writer,dialogue,\N
tt0200087,8,nm1374769,composer,\N,\N
tt0200087,9,nm1590134,composer,\N,\N
tt0206634,10,nm0416807,writer,"novel ""The Children of Men""",\N
tt0206634,1,nm0000194,actress,\N,"[""Julian""]"
tt0206634,2,nm0654110,actor,\N,"[""Theo Faron""]"
tt0206634,3,nm0252230,actor,\N,"[""Luke""]"
tt0206634,4,nm0000323,actor,\N,"[""Jasper""]"
tt0206634,5,nm0190859,director,\N,\N
tt0206634,6,nm0786694,writer,screenplay,\N
tt0206634,7,nm0033153,writer,screenplay,\N
tt0206634,8,nm1318843,writer,screenplay,\N
tt0206634,9,nm1319757,writer,screenplay,\N
tt0208092,10,nm0524829,production_designer,\N,\N
tt0208092,1,nm0005458,actor,\N,"[""Turkish""]"
tt0208092,2,nm0000093,actor,\N,"[""Mickey O'Neil""]"
tt0208092,3,nm0334318,actor,\N,"[""Tommy""]"
tt0208092,4,nm0005068,actor,\N,"[""Bullet-Tooth Tony""]"
tt0208092,5,nm0005363,director,\N,\N
tt0208092,6,nm0891216,producer,producer,\N
tt0208092,7,nm0614373,composer,\N,\N
tt0208092,8,nm0362165,cinematographer,director of photography,\N
tt0208092,9,nm1154184,editor,\N,\N
tt0209144,10,nm0002892,cinematographer,director of photography,\N
tt0209144,1,nm0001602,actor,\N,"[""Leonard""]"
tt0209144,2,nm0005251,actress,\N,"[""Natalie""]"
tt0209144,3,nm0001592,actor,\N,"[""Teddy""]"
tt0209144,4,nm0095478,actor,\N,"[""Burt""]"
tt0209144,5,nm0634240,director,\N,\N
tt0209144,6,nm0634300,writer,"short story ""Memento Mori""",\N
tt0209144,7,nm0865189,producer,producer,\N
tt0209144,8,nm0865297,producer,producer,\N
tt0209144,9,nm0432382,composer,\N,\N
tt0211915,10,nm0773685,editor,\N,\N
tt0211915,1,nm0851582,actress,\N,"[""Amélie Poulain""]"
tt0211915,2,nm0440913,actor,\N,"[""Nino Quincampoix""]"
tt0211915,3,nm0749363,actor,\N,"[""Raphaël Poulain""]"
tt0211915,4,nm0186677,actress,\N,"[""Amandine Poulain""]"
tt0211915,5,nm0000466,director,\N,\N
tt0211915,6,nm0491011,writer,scenario,\N
tt0211915,7,nm0652226,producer,producer,\N
tt0211915,8,nm0862961,composer,\N,\N
tt0211915,9,nm0216632,cinematographer,\N,\N
tt0242519,10,nm0618897,producer,producer,\N
tt0242519,1,nm0474774,actor,\N,"[""Raju""]"
tt0242519,2,nm0792911,actor,\N,"[""Ghanshyam (Shyam)""]"
tt0242519,3,nm0712546,actor,\N,"[""Baburao Ganpatrao Apte""]"
tt0242519,4,nm0007102,actress,\N,"[""Anuradha Shivshankar Panikar""]"
tt0242519,5,nm0698184,director,\N,\N
tt0242519,6,nm0796504,writer,story,\N
tt0242519,7,nm0482309,writer,story,\N
tt0242519,8,nm0903423,writer,dialogue,\N
tt0242519,9,nm1019121,writer,story,\N
tt0244316,1,nm0943150,actor,\N,"[""N.J.""]"
tt0244316,2,nm0157805,actress,\N,"[""Min-Min""]"
tt0244316,3,nm0644521,actor,\N,"[""Mr. Ota""]"
tt0244316,4,nm0497662,actress,\N,"[""Ting-Ting""]"
tt0244316,5,nm0945981,director,\N,\N
tt0244316,6,nm0671821,composer,\N,\N
tt0244316,7,nm0946077,cinematographer,\N,\N
tt0244316,8,nm0155163,editor,\N,\N
tt0245429,10,nm0645777,cinematographer,\N,\N
tt0245429,1,nm0153738,actress,\N,"[""Chihiro""]"
tt0245429,2,nm0687189,actress,\N,"[""Yubaba"",""Zeniba""]"
tt0245429,3,nm0997115,actor,\N,"[""Haku""]"
